Country,iso3,year,month,sex,age_group,type,expected.mean,acm.mean,excess.mean*
Afghanistan,AFG,2020,1,Female,0-24,predicted,23088,23425,337
Afghanistan,AFG,2020,2,Female,25-34,predicted,22412,22461,49
Afghanistan,AFG,2020,3,Female,35-44,predicted,21921,20939,-982
Afghanistan,AFG,2020,4,Female,45-54,predicted,21207,20137,-1071
Afghanistan,AFG,2020,5,Female,55-64,predicted,20485,21559,1074
Afghanistan,AFG,2020,6,Female,65-74,predicted,19873,23753,3879
Afghanistan,AFG,2020,7,Female,75-84,predicted,19623,24605,4981
Afghanistan,AFG,2020,8,Female,>85,predicted,19777,23194,3417
Afghanistan,AFG,2020,9,Male,0-24,predicted,20540,23147,2607
Afghanistan,AFG,2020,10,Male,25-34,predicted,21381,24526,3145
Afghanistan,AFG,2020,11,Male,35-44,predicted,22260,27087,4827
Afghanistan,AFG,2020,12,Male,45-54,predicted,22982,27671,4689
Afghanistan,AFG,2021,1,Male,55-64,predicted,23145,25548,2403
Afghanistan,AFG,2021,2,Male,65-74,predicted,22442,23130,688
Afghanistan,AFG,2021,3,Male,75-84,predicted,21946,22786,841
Afghanistan,AFG,2021,4,Male,>85,predicted,21261,23741,2480
Afghanistan,AFG,2021,5,Female,0-24,predicted,20524,23869,3345
Afghanistan,AFG,2021,6,Female,25-34,predicted,19904,26549,6645
Afghanistan,AFG,2021,7,Female,35-44,predicted,19664,26299,6636
Afghanistan,AFG,2021,8,Female,45-54,predicted,19807,24793,4986
Afghanistan,AFG,2021,9,Female,55-64,predicted,20580,23499,2919
Afghanistan,AFG,2021,10,Female,65-74,predicted,21425,24277,2852
Afghanistan,AFG,2021,11,Female,75-84,predicted,22308,24972,2664
Afghanistan,AFG,2021,12,Female,>85,predicted,23024,25344,2320
Angola,AGO,2020,1,Male,0-24,predicted,18968,19760,792
Angola,AGO,2020,2,Male,25-34,predicted,18944,19103,160
Angola,AGO,2020,3,Male,35-44,predicted,18953,18857,-96
Angola,AGO,2020,4,Male,45-54,predicted,19004,17034,-1969
Angola,AGO,2020,5,Male,55-64,predicted,19188,18030,-1158
Angola,AGO,2020,6,Male,65-74,predicted,19477,18642,-835
Angola,AGO,2020,7,Male,75-84,predicted,19503,19481,-22
Angola,AGO,2020,8,Male,>85,predicted,19271,20033,761
Angola,AGO,2020,9,Female,0-24,predicted,19038,20154,1116
Angola,AGO,2020,10,Female,25-34,predicted,18912,19512,599
Angola,AGO,2020,11,Female,35-44,predicted,18962,19622,660
Angola,AGO,2020,12,Female,45-54,predicted,18979,19524,545
Angola,AGO,2021,1,Female,55-64,predicted,19004,19878,874
Angola,AGO,2021,2,Female,65-74,predicted,18982,19903,921
Angola,AGO,2021,3,Female,75-84,predicted,18993,19569,576
Angola,AGO,2021,4,Female,>85,predicted,19037,19225,188
Angola,AGO,2021,5,Male,0-24,predicted,19235,20462,1228
Angola,AGO,2021,6,Male,25-34,predicted,19518,20145,627
Angola,AGO,2021,7,Male,35-44,predicted,19534,20435,901
Angola,AGO,2021,8,Male,45-54,predicted,19316,20532,1216
Angola,AGO,2021,9,Male,55-64,predicted,19071,20327,1257
Angola,AGO,2021,10,Male,65-74,predicted,18942,19600,658
Angola,AGO,2021,11,Male,75-84,predicted,18998,19462,465
Angola,AGO,2021,12,Male,>85,predicted,19015,20548,1532
Albania,ALB,2020,1,Female,0-24,reported,2143,2187,44
Albania,ALB,2020,2,Female,25-34,reported,2030,2018,-12
Albania,ALB,2020,3,Female,35-44,reported,1910,1993,83
Albania,ALB,2020,4,Female,45-54,reported,1745,1804,59
Albania,ALB,2020,5,Female,55-64,reported,1657,1803,146
Albania,ALB,2020,6,Female,65-74,reported,1634,1779,145
Albania,ALB,2020,7,Female,75-84,reported,1706,2166,460
Albania,ALB,2020,8,Female,>85,reported,1653,2476,823
Albania,ALB,2020,9,Male,0-24,reported,1552,1982,430
Albania,ALB,2020,10,Male,25-34,reported,1610,2403,793
Albania,ALB,2020,11,Male,35-44,reported,1815,3854,2039
Albania,ALB,2020,12,Male,45-54,reported,2133,3140,1007
Albania,ALB,2021,1,Male,55-64,reported,2134,3002,867
Albania,ALB,2021,2,Male,65-74,reported,2028,3773,1745
Albania,ALB,2021,3,Male,75-84,reported,1900,3447,1546
Albania,ALB,2021,4,Male,>85,reported,1734,2419,685
Albania,ALB,2021,5,Female,0-24,reported,1643,1874,230
Albania,ALB,2021,6,Female,25-34,reported,1628,1822,194
Albania,ALB,2021,7,Female,35-44,reported,1700,1820,120
Albania,ALB,2021,8,Female,45-54,reported,1655,2080,425
Albania,ALB,2021,9,Female,55-64,reported,1537,2506,969
Albania,ALB,2021,10,Female,65-74,reported,1601,2559,958
Albania,ALB,2021,11,Female,75-84,reported,1805,2506,700
Albania,ALB,2021,12,Female,>85,reported,2127,2772,645
Andorra,AND,2020,1,Male,0-24,reported,55,63,8
Andorra,AND,2020,2,Male,25-34,reported,54,68,14
Andorra,AND,2020,3,Male,35-44,reported,52,74,22
Andorra,AND,2020,4,Male,45-54,reported,48,111,63
Andorra,AND,2020,5,Male,55-64,reported,46,66,20
Andorra,AND,2020,6,Male,65-74,reported,46,48,2
Andorra,AND,2020,7,Male,75-84,reported,46,53,7
Andorra,AND,2020,8,Male,>85,reported,47,35,-12
Andorra,AND,2020,9,Female,0-24,reported,48,50,2
Andorra,AND,2020,10,Female,25-34,reported,51,94,43
Andorra,AND,2020,11,Female,35-44,reported,53,35,-18
Andorra,AND,2020,12,Female,45-54,reported,55,76,21
Andorra,AND,2021,1,Female,55-64,reported,56,96,40
Andorra,AND,2021,2,Female,65-74,reported,56,66,10
Andorra,AND,2021,3,Female,75-84,reported,54,48,-6
Andorra,AND,2021,4,Female,>85,reported,50,79,29
Andorra,AND,2021,5,Male,0-24,reported,47,59,12
Andorra,AND,2021,6,Male,25-34,reported,47,35,-12
Andorra,AND,2021,7,Male,35-44,reported,47,53,6
Andorra,AND,2021,8,Male,45-54,reported,48,52,4
Andorra,AND,2021,9,Male,55-64,reported,49,48,-1
